SPHTX,SPHTX,0x3833dda0aeb6947b98ce454d89366cba8cc55528,18
Game.com Token,GTC,0xB70835D7822eBB9426B56543E391846C107bd32C,18
Aragon,ANT,0x960b236A07cf122663c4303350609A66A7B288C0,18
HPBCoin,HPB,0x38c6a68304cdefb9bec48bbfaaba5c5b47818bb2,18
Gnosis,GNO,0x6810e776880c02933d47db1b9fc05908e5386b96,18
EnjinCoin,ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,18
Bluzelle,BLZ,0x5732046a883704404f284ce41ffadd5b007fd668,18
RUFF,RUFF,0xf278c1ca969095ffddded020290cf8b5c424ace2,18
ArcBlock,ABT,0xb98d4c97425d9908e66e53a6fdf673acca0be986,18
Genaro X,GNX,0x6ec8a24cabdc339a06a172f8223ea557055adaa5,9
SIRIN,SRN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,18
I HOUSE TOKEN,IHT,0xeda8b016efa8b1161208cf041cd86972eee0f31e,18
Metal,MTL,0xF433089366899D83a9f26A773D59ec7eCF30355e,8
SingularityNET,AGI,0x8eb24319393716668d768dcec29356ae9cffe285,8
SAN,SAN,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,18
Po.et,POE,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,8
DENT,DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258,8
Tomocoin,TOMO,0x8b353021189375591723e7384262f45709a3c3dc,18
DATAcoin,DATA,0x0cf0ee63788a0849fe5297f3407f701e122cc023,18
Raiden,RDN,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,18
Amber,AMB,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,18
Bix Token,BIX,0xb3104b4b9da82025e8b9f8fb28b3553ce2f67069,18
Trace,TRAC,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,18
Crypterium,CRPT,0x80a7e048f37a50500351c204cb407766fa3bae7f,18
Zebi Coin,ZCO,0x2008e3057bd734e10ad13c9eae45ff132abc1722,8
EthLend,LEND,0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,18
Genesis Vision,GVT,0x103c3A209da59d3E7C4A89307e66521e081CFDF0,18
PILLAR,PLR,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,18
IOT Chain,ITC,0x5e6b6d9abad9093fdc861ea1600eba1b355cd940,18
Crypto20,C20,0x26e75307fc0c021472feb8f727839531f112f317,18
PayPie,PPP,0xc42209aCcC14029c1012fB5680D95fBd6036E2a0,18
CyberVeinToken,CVT,0xbe428c3867f05dea2a89fc76a102b544eac7f772,18
Simple Token,ST,0x2c4e8f2d746113d0696ce89b35f0d8bf88e0aeca,18
CUBE,AUTO,0x622dFfCc4e83C64ba959530A5a5580687a57581b,18
AdEx,ADX,0x4470BB87d77b963A013DB939BE332f927f2b992e,4
Lympo,LYM,0x57ad67acf9bf015e4820fbd66ea1a21bed8852ec,18
Telcoin,TEL,0x85e076361cc813a908ff672f9bad1541474402b2,2
RipioCreditNetwork,RCN,0xf970b8e36e23f7fc3fd752eea86f8be8d83375a6,18
Rock,RKT,0x106aa49295b525fcf959aa75ec3f7dcbf5352f1c,18
Bread,BRD,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,18
DATx,DATx,0xabbbb6447b68ffd6141da77c18c7b5876ed6c5ab,18
BLOCKv,VEE,0x340d2bde5eb28c1eed91b2f790723e3b160613b7,18
Eidoo,EDO,0xced4e93198734ddaff8492d525bd258d49eb388e,18
Jibrel Network Token,JNT,0xa5fd1a791c4dfcaacc963d4f73c6ae5824149ea7,18
QRL,QRL,0x697beac28b09e122c4332d163985e8a73121b97f,8
DAEX Token,DAX,0x0b4bdc478791897274652dc15ef5c135cae61e60,18
Republic,REN,0x408e41876cccdc0f92210600ef50372656052a38,18
AirSwap,AST,0x27054b13b1b798b345b591a4d22e6562d47ea75a,4
Oyster Pearl,PRL,0x1844b21593262668b7248d0f57a220caaba46ab9,18
district0x,DNT,0x0abdace70d3790235af448c88547603b945604ea,18
SNGLS,SNGLS,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0
WePower,WPR,0x4CF488387F035FF08c371515562CBa712f9015d4,18
Primas,PST,0xe3fedaecd47aa8eab6b23227b0ee56f092c967a9,18
SPANK,SPANK,0x42d6622dece394b54999fbd73d108123806f6a18,18
Edgeless,EDG,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0
Hydro Protocol,HOT,0x9af839687f6c94542ac5ece2e317daae355493a1,18
AppCoins,APPC,0x1a7a8bd9106f2b8d977e08582dc7d24c723ab0db,18
WaBi,WaBi,0x286BDA1413a2Df81731D4930ce2F862a35A609fE,18
ElectrifyAsia,ELEC,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,18
UTRUST,UTK,0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38,18
Internet Node Token,INT,0x0b76544f6c413a555f309bf76260d1e02377c02a,6
Tierion Network Token,TNT,0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,8
WINGS,WINGS,0x667088b212ce3d06a1b553a7221E1fD19000d9aF,18
Modum Token,MOD,0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,0
BANCA,BANCA,0x998b3b82bc9dba173990be7afb772788b5acb8bd,18
UNetworkToken,UUU,0x3543638ed4a9006e4840b105944271bcea15605d,18
INS,INS,0x5b2e4a700dfbc560061e957edec8f6eeeb74a320,10
Ocoin,OCN,0x4092678e4e78230f46a1534c0fbc8fa39780892b,18
EDUCare,EKT,0xbab165df9455aa0f2aed1f2565520b91ddadb4c8,8
BAX,BAX,0x9a0242b7a33dacbe40edb927834f96eb39f8fbcb,18
